"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"Indian Point Complex","0.705","0.094","0.271","0.069","0.532","0.891","0.34","0.83","0.796","0.45","1","0.871","0.832","0.606","0.763","0.396","0.901","0.795","0.795","0.813","0.112","0.572","0.795","0.81","0.467","0.795","0.795","0.795","0.837","0.795","0.683","0.582","0.827","0.821","0.795","0.795","0.457","0.768","0.817","0.79","0.815","0.814","0.795","0.768","0.367","0.016","0.285","0.032","0.028","0.465","0.028","0.028","0.008","0","0.01","0.033","0.011","0.154","0","0.023","0","0.094","0","0.062","0.145","0","0.017","0","0.238","0","0.019","0","0.018","0","0.028","0","0","0.042","0.028","0","0","0","0.021","0","0","0.028","0.028","0","0","0","0.028","0","0","0","0.028","0.021","0.047","0.045","0.045","0","0.028","0","0.009","0.028","0","0","0.002","0","0.028","0.008","0.028","0.028","0.401","0.042","0.768","0","0.056","0.494","0.445","0.777","0.795","0.795","0.161","0.132","0.187","0.067","0.319","0","0.111","0","0.599","0.251","0.588","0.747","0.732","0.795","0.611","0.837","0.715","0.725","0.508","0.747","0.144","0.111","0.16","0.229","0.427","0.795","0.129","0.306","0.402","0.39","0.377","0.111","0.113","0.111","0.223","0.041","0.095","0.21","0.132","0.326","0.111","0.138","0","0.151","0.111","0.002","0","0","0","0","0.188","0","0","0","0.011","0","0","0","0","0","0","0","0.004","0","0","0","0","0.137","0.111","0.111","0.359","0.02","0.018","0.011","0.016","0.004","0.016","0.028","0.025","0.016","0.01","0.027","0.02","0.016","0.028","0.021","0.004","0.004","0.016","0.026","0.016","0.018","0.004","0.011","0.183","0.021","0.025","0.111","0.111","0.09","0.142","0.028","0.118","0.649","0.295","0.795","0.02","0.017","0.017","0.016","0","0","0.795","0.117","0","0.028","0.019","0.462","0.303","0.567","0.302","0.546","0.395","0.489","0.705","0.506","0.414","0.028","0.17","0.625","0.363","0.34","0.482","0.566","0.105","0.449","0.784","0.586","0.016","0.016","0.195","0.247","0.795","0.459","0.476","0.76","0.795","0.773","0.593","0.235","0.248","0.218","0.204","0.279","0.197","0.785","0.158"
"Las Tortugas","0.671","0.078","0.25","0.052","0.515","0.833","0.269","0.76","0.717","0.368","0.871","1","0.794","0.583","0.682","0.333","0.836","0.73","0.73","0.747","0.067","0.528","0.73","0.754","0.422","0.73","0.73","0.73","0.754","0.73","0.655","0.555","0.754","0.754","0.73","0.73","0.429","0.73","0.751","0.73","0.752","0.749","0.73","0.73","0.322","0","0.263","0","0","0.452","0","0","0.008","0","0.01","0.008","0.008","0.127","0","0","0","0.079","0","0.062","0.118","0","0.017","0","0.238","0","0","0.008","0.008","0.008","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0.008","0","0","0","0.027","0.017","0.017","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0.378","0.014","0.73","0","0.064","0.466","0.418","0.73","0.73","0.73","0.262","0.113","0.209","0.048","0.299","0","0.24","0.008","0.572","0.202","0.563","0.678","0.708","0.73","0.584","0.754","0.67","0.697","0.488","0.719","0.246","0.24","0.132","0.201","0.4","0.73","0.102","0.278","0.375","0.362","0.35","0.223","0.24","0.24","0.231","0.029","0.075","0.191","0.121","0.283","0.24","0.24","0","0.253","0.24","0.009","0.008","0.008","0.008","0.008","0.261","0.008","0.008","0.008","0.019","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0","0.008","0.008","0.008","0.008","0.246","0.24","0.227","0.488","0","0.001","0.018","0","0","0","0.007","0.004","0","0.001","0.015","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0","0.134","0","0.011","0.24","0.24","0.07","0.252","0","0.246","0.693","0.259","0.73","0.004","0","0.001","0","0.008","0.008","0.73","0.117","0","0","0.002","0.435","0.276","0.54","0.274","0.519","0.368","0.462","0.677","0.479","0.387","0","0.142","0.598","0.336","0.312","0.455","0.538","0.077","0.422","0.73","0.549","0","0","0.167","0.219","0.73","0.431","0.448","0.73","0.73","0.73","0.566","0.208","0.221","0.191","0.177","0.252","0.169","0.73","0.13"
"Los Hermanos","0.647","0.078","0.25","0.052","0.515","0.874","0.239","0.757","0.683","0.338","0.832","0.794","1","0.465","0.652","0.303","0.93","0.936","0.809","0.875","0.043","0.504","0.871","0.741","0.398","0.871","0.934","0.93","0.893","0.784","0.638","0.555","0.792","0.924","0.873","0.936","0.429","0.936","0.924","0.936","0.936","0.855","0.908","0.936","0.298","0","0.258","0","0","0.452","0","0","0.008","0","0.01","0.008","0","0.127","0","0","0","0.064","0","0.062","0.118","0","0.017","0","0.238","0","0","0","0","0","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0.017","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0.378","0.014","0.936","0","0.056","0.466","0.417","0.749","0.859","0.819","0.087","0.105","0.113","0.04","0.266","0","0.064","0","0.572","0.178","0.55","0.633","0.683","0.842","0.584","0.853","0.646","0.697","0.462","0.719","0.07","0.064","0.132","0.201","0.4","0.868","0.102","0.278","0.375","0.362","0.35","0.064","0.064","0.064","0.223","0.021","0.067","0.145","0.064","0.274","0.064","0.064","0","0.077","0.064","0.001","0","0","0","0","0.114","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0.064","0.064","0.064","0.312","0","0.001","0.01","0","0","0","0.007","0.004","0","0","0.006","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0","0.11","0","0.007","0.064","0.064","0.062","0.066","0","0.07","0.517","0.235","0.786","0","0","0.001","0","0","0","0.844","0.117","0","0","0.002","0.435","0.276","0.54","0.274","0.519","0.368","0.462","0.677","0.479","0.387","0","0.142","0.598","0.336","0.312","0.455","0.538","0.077","0.422","0.757","0.517","0","0","0.167","0.219","0.8","0.431","0.448","0.732","0.777","0.745","0.566","0.208","0.221","0.191","0.177","0.252","0.169","0.757","0.13"
"Meddler Point Mound","0.566","0.081","0.262","0.055","0.404","0.592","0.6","0.644","0.613","0.781","0.606","0.583","0.465","1","0.752","0.721","0.53","0.415","0.415","0.432","0.429","0.533","0.415","0.582","0.55","0.415","0.415","0.415","0.479","0.415","0.433","0.415","0.447","0.441","0.415","0.415","0.415","0.401","0.436","0.415","0.437","0.434","0.415","0.401","0.423","0.003","0.272","0.023","0.014","0.414","0.014","0.014","0.008","0","0.01","0.022","0.011","0.141","0","0.014","0","0.093","0","0.062","0.132","0","0.017","0","0.238","0","0.014","0","0.014","0","0.014","0","0","0.035","0.014","0","0","0","0.014","0","0","0.014","0.014","0","0","0","0.014","0","0","0","0.014","0.014","0.033","0.031","0.031","0","0.014","0","0.009","0.014","0","0","0.002","0","0.014","0.008","0.014","0.014","0.392","0.028","0.401","0","0.056","0.415","0.421","0.415","0.415","0.415","0.189","0.119","0.215","0.054","0.305","0","0.152","0","0.415","0.459","0.489","0.821","0.759","0.415","0.415","0.496","0.516","0.415","0.438","0.415","0.172","0.152","0.146","0.215","0.414","0.415","0.116","0.292","0.389","0.376","0.364","0.152","0.155","0.152","0.223","0.035","0.081","0.197","0.127","0.3","0.152","0.166","0","0.179","0.152","0.002","0","0","0","0","0.216","0","0","0","0.011","0","0","0","0","0","0","0","0.009","0","0","0","0","0.178","0.152","0.152","0.4","0.006","0.004","0.011","0.003","0.009","0.003","0.018","0.015","0.003","0.012","0.018","0.006","0.003","0.019","0.007","0.009","0.009","0.003","0.017","0.003","0.004","0.009","0.011","0.395","0.012","0.021","0.152","0.152","0.076","0.178","0.014","0.159","0.812","0.522","0.415","0.006","0.003","0.004","0.003","0","0","0.415","0.117","0","0.014","0.005","0.415","0.29","0.415","0.288","0.415","0.382","0.415","0.415","0.415","0.401","0.014","0.157","0.415","0.35","0.327","0.415","0.415","0.091","0.415","0.415","0.79","0.003","0.003","0.181","0.233","0.415","0.415","0.415","0.415","0.415","0.415","0.415","0.222","0.235","0.205","0.191","0.266","0.183","0.415","0.144"
"Pinto Point Mound","0.778","0.086","0.26","0.06","0.523","0.77","0.567","0.842","0.808","0.685","0.763","0.682","0.652","0.752","1","0.609","0.677","0.658","0.658","0.675","0.348","0.671","0.658","0.825","0.586","0.658","0.658","0.658","0.716","0.658","0.676","0.604","0.69","0.684","0.658","0.641","0.479","0.608","0.679","0.63","0.656","0.677","0.658","0.608","0.459","0.008","0.308","0.052","0.04","0.465","0.05","0.05","0.008","0","0.01","0.033","0.011","0.176","0","0.023","0","0.059","0","0.044","0.167","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.05","0.034","0","0","0","0.05","0","0","0","0.05","0.021","0.069","0.061","0.067","0","0.029","0","0.009","0.05","0","0","0.002","0","0.05","0.008","0.042","0.05","0.401","0.064","0.608","0","0.044","0.516","0.467","0.658","0.658","0.658","0.109","0.154","0.142","0.089","0.295","0","0.044","0","0.621","0.479","0.58","0.924","0.913","0.658","0.633","0.739","0.758","0.658","0.53","0.658","0.1","0.044","0.182","0.251","0.45","0.658","0.151","0.328","0.424","0.412","0.399","0.044","0.047","0.044","0.223","0.041","0.096","0.175","0.066","0.34","0.044","0.072","0","0.088","0.044","0.002","0","0","0","0","0.143","0","0","0","0.011","0","0","0","0","0","0","0","0.003","0","0","0","0","0.07","0.044","0.044","0.292","0.01","0.009","0.011","0.008","0.003","0.008","0.017","0.014","0.008","0.008","0.017","0.011","0.008","0.018","0.01","0.003","0.003","0.008","0.015","0.008","0.009","0.003","0.011","0.417","0.01","0.025","0.044","0.044","0.094","0.075","0.05","0.051","0.792","0.507","0.658","0.011","0.008","0.009","0.008","0","0","0.658","0.117","0","0.05","0.01","0.484","0.325","0.59","0.324","0.568","0.418","0.511","0.658","0.528","0.436","0.05","0.192","0.647","0.385","0.362","0.504","0.588","0.127","0.472","0.658","0.822","0.008","0.008","0.217","0.269","0.658","0.481","0.498","0.658","0.658","0.658","0.615","0.257","0.27","0.24","0.226","0.302","0.219","0.658","0.18"
"Pyramid Point Complex","0.465","0.078","0.26","0.052","0.303","0.421","0.878","0.547","0.566","0.885","0.396","0.333","0.303","0.721","0.609","1","0.325","0.319","0.319","0.336","0.404","0.437","0.319","0.486","0.457","0.319","0.319","0.319","0.382","0.319","0.337","0.319","0.351","0.345","0.319","0.319","0.319","0.303","0.34","0.319","0.341","0.338","0.319","0.303","0.425","0","0.273","0.025","0.016","0.316","0.016","0.016","0.008","0","0.01","0.024","0.011","0.142","0","0.016","0","0.015","0","0","0.133","0","0.017","0","0.238","0","0.016","0","0.016","0","0.016","0","0","0.036","0.016","0","0","0","0.016","0","0","0.016","0.016","0","0","0","0.016","0","0","0","0.016","0.016","0.035","0.016","0.033","0","0.016","0","0.009","0.016","0","0","0.002","0","0.016","0.008","0.016","0.016","0.319","0.03","0.303","0","0","0.319","0.319","0.319","0.319","0.319","0.038","0.114","0.064","0.016","0.217","0","0","0","0.319","0.462","0.319","0.644","0.62","0.319","0.319","0.4","0.419","0.319","0.337","0.319","0.021","0","0.148","0.217","0.319","0.319","0.117","0.294","0.319","0.319","0.319","0","0.003","0","0.184","0.036","0.018","0.096","0.016","0.299","0","0.016","0","0.028","0","0.002","0","0","0","0","0.065","0","0","0","0.011","0","0","0","0","0","0","0","0.01","0","0","0","0","0.026","0","0","0.248","0.003","0.001","0.001","0","0.01","0","0.01","0.014","0","0.01","0.011","0.003","0","0.017","0.004","0.01","0.01","0","0.015","0","0.002","0.01","0.008","0.397","0.01","0.023","0","0","0.016","0.027","0.016","0.007","0.561","0.522","0.319","0.004","0","0.001","0","0","0","0.319","0.117","0","0.016","0.002","0.319","0.291","0.319","0.29","0.319","0.319","0.319","0.319","0.319","0.319","0.016","0.158","0.319","0.319","0.319","0.319","0.319","0.092","0.319","0.319","0.664","0","0","0.183","0.235","0.319","0.319","0.319","0.319","0.319","0.319","0.319","0.223","0.236","0.206","0.192","0.267","0.185","0.319","0.146"
"Schoolhouse Point Mesa Complex","0.65","0.081","0.258","0.055","0.518","0.882","0.259","0.757","0.715","0.365","0.901","0.836","0.93","0.53","0.677","0.325","1","0.885","0.829","0.885","0.063","0.523","0.885","0.761","0.418","0.885","0.885","0.885","0.885","0.804","0.657","0.574","0.812","0.885","0.885","0.885","0.448","0.866","0.885","0.885","0.885","0.874","0.885","0.866","0.318","0.003","0.277","0.025","0.019","0.465","0.019","0.019","0.008","0","0.01","0.028","0.011","0.146","0","0.019","0","0.094","0","0.062","0.137","0","0.017","0","0.238","0","0.019","0","0.018","0","0.019","0","0","0.04","0.019","0","0","0","0.019","0","0","0.019","0.019","0","0","0","0.019","0","0","0","0.019","0.019","0.039","0.037","0.036","0","0.019","0","0.009","0.019","0","0","0.002","0","0.019","0.008","0.019","0.019","0.397","0.034","0.866","0","0.056","0.486","0.436","0.768","0.878","0.839","0.148","0.124","0.174","0.059","0.31","0","0.106","0","0.591","0.203","0.579","0.675","0.69","0.861","0.603","0.872","0.666","0.716","0.481","0.738","0.132","0.106","0.151","0.221","0.419","0.885","0.121","0.298","0.394","0.382","0.369","0.106","0.109","0.106","0.223","0.04","0.087","0.202","0.126","0.297","0.106","0.126","0","0.138","0.106","0.002","0","0","0","0","0.175","0","0","0","0.011","0","0","0","0","0","0","0","0.006","0","0","0","0","0.106","0.106","0.106","0.354","0.006","0.004","0.011","0.003","0.006","0.003","0.015","0.012","0.003","0.009","0.015","0.006","0.003","0.015","0.007","0.006","0.006","0.003","0.008","0.003","0.004","0.006","0.011","0.135","0.008","0.025","0.106","0.106","0.081","0.127","0.019","0.113","0.582","0.254","0.806","0.003","0.003","0.003","0.003","0","0","0.863","0.117","0","0.019","0.005","0.454","0.295","0.559","0.294","0.538","0.387","0.481","0.697","0.498","0.406","0.019","0.162","0.617","0.355","0.332","0.474","0.558","0.096","0.441","0.776","0.537","0.003","0.003","0.187","0.239","0.819","0.451","0.468","0.752","0.796","0.765","0.585","0.227","0.24","0.21","0.196","0.271","0.189","0.777","0.149"
"Lovelady Ranch","0.647","0.078","0.25","0.052","0.515","0.809","0.28","0.757","0.681","0.362","0.795","0.73","0.936","0.415","0.658","0.319","0.885","1","0.871","0.937","0.105","0.566","0.933","0.803","0.46","0.934","0.996","0.992","0.937","0.846","0.7","0.617","0.855","0.974","0.935","0.971","0.491","0.938","0.979","0.96","0.963","0.917","0.97","0.938","0.36","0","0.313","0.062","0.04","0.465","0.062","0.062","0.008","0","0.01","0.033","0.011","0.189","0","0.023","0","0.015","0","0","0.18","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.062","0.034","0","0","0","0.062","0","0","0","0.06","0.021","0.081","0.044","0.079","0","0.029","0","0.009","0.062","0","0","0.002","0","0.062","0.008","0.042","0.062","0.401","0.076","0.938","0","0","0.528","0.473","0.811","0.921","0.881","0.065","0.161","0.111","0.062","0.264","0","0","0","0.634","0.222","0.548","0.591","0.648","0.904","0.646","0.915","0.708","0.759","0.52","0.781","0.068","0","0.194","0.263","0.462","0.93","0.164","0.34","0.437","0.424","0.412","0","0.002","0","0.184","0.041","0.065","0.143","0.022","0.336","0","0.028","0","0.044","0","0.002","0","0","0","0","0.112","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0","0.001","0.001","0","0","0","0","0.004","0","0","0.001","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.172","0","0.025","0","0","0.06","0.021","0.062","0.007","0.498","0.249","0.849","0","0","0.001","0","0","0","0.906","0.117","0","0.062","0.002","0.497","0.338","0.602","0.336","0.581","0.43","0.524","0.739","0.541","0.449","0.062","0.205","0.66","0.398","0.375","0.517","0.601","0.139","0.484","0.819","0.571","0","0","0.229","0.281","0.862","0.493","0.51","0.794","0.839","0.807","0.628","0.27","0.283","0.253","0.239","0.314","0.231","0.819","0.192"
"AZ W:11:7","0.647","0.078","0.25","0.052","0.515","0.809","0.28","0.757","0.681","0.362","0.795","0.73","0.809","0.415","0.658","0.319","0.829","0.871","1","0.915","0.234","0.694","0.938","0.833","0.589","0.938","0.875","0.879","0.853","0.975","0.828","0.745","0.968","0.86","0.937","0.842","0.62","0.809","0.864","0.831","0.835","0.936","0.901","0.809","0.489","0","0.313","0.098","0.04","0.465","0.063","0.191","0.008","0","0.01","0.033","0.011","0.276","0","0.023","0","0.015","0","0","0.294","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.169","0","0.029","0","0.009","0.191","0","0","0.002","0","0.165","0.008","0.042","0.136","0.401","0.096","0.809","0","0","0.657","0.602","0.94","0.95","0.99","0.065","0.29","0.174","0.191","0.392","0","0","0","0.762","0.222","0.677","0.591","0.648","0.968","0.774","0.876","0.837","0.888","0.648","0.91","0.129","0","0.323","0.392","0.591","0.942","0.292","0.469","0.565","0.553","0.54","0","0.002","0","0.184","0.041","0.193","0.253","0.022","0.465","0","0.028","0","0.044","0","0.002","0","0","0","0","0.133","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0","0.001","0.001","0","0","0","0","0.004","0","0","0.001","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.301","0","0.025","0","0","0.06","0.021","0.191","0.007","0.498","0.249","0.977","0","0","0.001","0","0","0","0.965","0.117","0","0.191","0.002","0.625","0.466","0.731","0.465","0.709","0.559","0.652","0.868","0.669","0.577","0.191","0.333","0.788","0.526","0.503","0.645","0.729","0.268","0.613","0.948","0.571","0","0","0.358","0.41","0.99","0.622","0.639","0.923","0.967","0.936","0.756","0.398","0.411","0.381","0.367","0.443","0.36","0.948","0.321"
"WS Ranch","0.664","0.078","0.25","0.052","0.515","0.827","0.297","0.774","0.698","0.379","0.813","0.747","0.875","0.432","0.675","0.336","0.885","0.937","0.915","1","0.166","0.627","0.977","0.85","0.521","0.977","0.941","0.945","0.936","0.89","0.761","0.66","0.915","0.943","0.978","0.908","0.535","0.875","0.948","0.897","0.918","0.978","0.967","0.875","0.421","0.002","0.313","0.1","0.04","0.465","0.063","0.106","0.008","0","0.01","0.033","0.011","0.232","0","0.023","0","0.015","0","0","0.223","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.123","0","0.029","0","0.009","0.106","0","0","0.002","0","0.106","0.008","0.042","0.106","0.401","0.096","0.875","0","0","0.572","0.518","0.855","0.965","0.925","0.065","0.205","0.154","0.106","0.308","0.002","0","0","0.677","0.239","0.592","0.608","0.666","0.947","0.689","0.936","0.769","0.803","0.58","0.825","0.112","0","0.238","0.307","0.506","0.973","0.207","0.384","0.48","0.468","0.455","0","0.003","0","0.184","0.041","0.108","0.187","0.022","0.39","0","0.028","0","0.044","0","0.002","0","0","0","0","0.133","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0","0.001","0.001","0","0","0","0","0.004","0","0.001","0.001","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0.01","0.233","0","0.025","0","0","0.06","0.031","0.106","0.007","0.516","0.266","0.892","0.004","0","0.001","0","0","0","0.95","0.117","0","0.106","0.002","0.54","0.381","0.646","0.38","0.624","0.474","0.567","0.783","0.584","0.492","0.106","0.248","0.703","0.441","0.418","0.56","0.644","0.183","0.528","0.863","0.588","0.001","0","0.273","0.325","0.905","0.537","0.554","0.838","0.882","0.851","0.672","0.313","0.326","0.296","0.282","0.358","0.275","0.863","0.236"
"Largo Canyon","0.205","0.043","0.043","0.043","0.043","0.152","0.38","0.244","0.174","0.472","0.112","0.067","0.043","0.429","0.348","0.404","0.063","0.105","0.234","0.166","1","0.539","0.172","0.302","0.645","0.172","0.109","0.113","0.151","0.259","0.406","0.489","0.251","0.12","0.171","0.076","0.614","0.043","0.12","0.065","0.09","0.189","0.135","0.043","0.424","0","0.098","0.098","0.04","0.056","0.063","0.258","0.008","0","0.01","0.033","0.011","0.193","0","0.023","0","0.015","0","0","0.22","0","0.017","0","0.043","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.169","0","0.029","0","0.009","0.224","0","0","0.002","0","0.165","0.008","0.042","0.136","0.067","0.096","0.043","0","0","0.577","0.622","0.294","0.184","0.224","0.065","0.628","0.168","0.585","0.628","0","0","0","0.465","0.345","0.48","0.356","0.36","0.202","0.459","0.19","0.397","0.346","0.561","0.324","0.129","0","0.628","0.628","0.628","0.176","0.628","0.628","0.628","0.628","0.628","0","0.003","0","0.043","0.041","0.283","0.216","0.022","0.512","0","0.028","0","0.044","0","0.002","0","0","0","0","0.126","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.043","0","0.001","0.001","0","0","0","0","0.004","0","0.001","0.001","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0.008","0.601","0","0.025","0","0","0.06","0.031","0.585","0.007","0.33","0.321","0.257","0.004","0","0.001","0","0","0","0.2","0.043","0","0.287","0.002","0.609","0.628","0.503","0.628","0.525","0.628","0.582","0.366","0.565","0.628","0.585","0.628","0.446","0.628","0.628","0.589","0.505","0.628","0.621","0.286","0.472","0","0","0.628","0.628","0.244","0.612","0.595","0.311","0.267","0.298","0.478","0.628","0.628","0.628","0.628","0.628","0.628","0.286","0.628"
"Foote Canyon Pueblo","0.622","0.078","0.25","0.052","0.504","0.613","0.398","0.622","0.634","0.48","0.572","0.528","0.504","0.533","0.671","0.437","0.523","0.566","0.694","0.627","0.539","1","0.632","0.714","0.894","0.632","0.569","0.574","0.611","0.719","0.866","0.881","0.711","0.58","0.631","0.537","0.806","0.504","0.58","0.525","0.551","0.649","0.596","0.504","0.68","0","0.313","0.099","0.04","0.465","0.063","0.258","0.008","0","0.01","0.033","0.011","0.276","0","0.023","0","0.015","0","0","0.294","0","0.017","0","0.238","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.169","0","0.029","0","0.009","0.224","0","0","0.002","0","0.165","0.008","0.042","0.136","0.401","0.096","0.504","0","0","0.844","0.79","0.755","0.645","0.684","0.065","0.476","0.174","0.377","0.579","0","0","0","0.882","0.34","0.863","0.643","0.629","0.662","0.881","0.651","0.857","0.807","0.853","0.785","0.129","0","0.509","0.578","0.777","0.636","0.479","0.656","0.752","0.739","0.727","0","0.003","0","0.184","0.041","0.283","0.253","0.022","0.661","0","0.028","0","0.044","0","0.002","0","0","0","0","0.133","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0","0.001","0.001","0","0","0","0","0.004","0","0.001","0.001","0.003","0","0.007","0","0","0","0","0.005","0","0.001","0","0.008","0.523","0","0.025","0","0","0.06","0.031","0.377","0.007","0.617","0.367","0.717","0.004","0","0.001","0","0","0","0.66","0.117","0","0.287","0.002","0.812","0.653","0.881","0.651","0.881","0.745","0.839","0.826","0.856","0.764","0.377","0.52","0.881","0.714","0.69","0.832","0.881","0.454","0.799","0.747","0.678","0","0","0.544","0.596","0.704","0.809","0.825","0.771","0.727","0.759","0.881","0.585","0.598","0.568","0.554","0.629","0.547","0.746","0.507"
