"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"111 Ranch","0.633","0.618","0.558","0.217","0.532","0.893","0.709","0.371","0.644","0.335","1","0.632","0.298","0.019","0.223","0.014","0.014","0.18","0.117","0.28","0.233","0.223","0.125","0.232","0.231","0.151","0.233","0.249","0.014","0.014","0.049","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.56","0.098","0.005","0","0.014","0.011","0.062","0","0","0","0","0.014","0.014","0.014","0.014","0.014","0","0.014","0","0.014","0.014","0","0.014","0","0.014","0","0","0.014","0","0","0.014","0","0","0","0","0.014","0","0","0","0.014","0","0","0","0","0.034","0","0","0.011","0","0.014","0.012","0.014","0.228","0","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.179","0.296","0.015","0.047","0","0","0","0","0.014","0.309","0.198","0.363","0.014","0.014","0","0.133","0.112","0.014","0.038","0.048","0.074","0.101","0.024","0.223","0.033","0.102","0.014","0.014","0.014","0.014","0.014","0.014","0.054","0.014","0.012","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0","0.014","0.002","0","0.014","0.014","0.239","0","0","0.014","0.004","0","0","0","0","0","0","0","0","0","0.014","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0.034","0","0","0","0","0","0","0.021","0","0","0.014","0","0.014","0.085","0.075","0.014","0.079","0.24","0.075","0.153","0.086","0.075","0.041","0.111","0.078","0.075","0.077","0.078","0.034","0.034","0.075","0.108","0.152","0.08","0.034","0.012","0.222","0.284","0.556","0.045","0.009","0","0.002","0.014","0.006","0.089","0.555","0.463","0.074","0.753","0.014","0.076","0.075","0.076","0.075","0","0","0","0.014","0.014","0","0.014","0.084","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.086","0.21","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.223","0.014"
"Davis Ranch Site","0.559","0.678","0.467","0.353","0.462","0.613","0.804","0.634","0.791","0.375","0.632","1","0.575","0.005","0.344","0","0","0.154","0.103","0.25","0.352","0.215","0.097","0.216","0.208","0.137","0.212","0.24","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.581","0.24","0.005","0.082","0.008","0.012","0.056","0","0","0","0.008","0.05","0","0","0","0.009","0","0","0","0","0","0","0","0","0.007","0.016","0","0","0","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012","0.008","0.008","0.012","0","0","0.006","0","0.214","0.005","0","0","0","0","0","0","0","0","0.047","0","0.016","0.024","0.048","0.396","0.083","0.055","0.082","0","0","0.082","0","0.052","0.167","0.253","0","0","0.082","0.106","0.097","0","0.024","0.034","0.061","0.152","0.01","0.321","0.033","0.088","0","0","0.002","0","0","0","0.04","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.082","0.082","0.082","0","0.071","0.082","0.256","0.078","0","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.004","0.082","0.082","0.028","0.082","0","0.082","0.089","0","0","0.082","0.082","0.082","0.224","0.217","0","0.221","0.21","0.217","0.171","0.22","0.217","0.01","0.125","0.219","0.217","0.04","0.22","0.004","0.004","0.217","0.22","0.294","0.222","0.004","0.02","0.222","0.239","0.445","0.015","0.021","0.082","0.07","0.016","0.038","0.104","0.645","0.598","0.029","0.399","0","0.218","0.217","0.217","0.217","0.033","0.082","0.02","0","0.009","0","0","0.219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.178","0.352","0","0","0","0","0","0","0","0","0","0.344","0"
"Jose Solas Ruin","0.5","0.651","0.424","0.659","0.372","0.282","0.589","0.727","0.537","0.446","0.298","0.575","1","0.005","0.356","0","0","0.15","0.099","0.209","0.346","0.215","0.094","0.212","0.175","0.137","0.199","0.225","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.28","0.35","0.005","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.152","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0.661","0.001","0.005","0","0","0","0","0","0.011","0.043","0.015","0","0","0","0.092","0.097","0","0.024","0.034","0.06","0.087","0.009","0.321","0.033","0.088","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0.339","0.335","0","0.339","0.206","0.335","0.167","0.335","0.335","0.006","0.107","0.337","0.335","0.037","0.335","0","0","0.335","0.335","0.378","0.338","0","0.012","0.005","0.005","0.152","0.011","0","0","0","0","0","0.104","0.532","0.582","0.011","0.065","0","0.337","0.335","0.335","0.335","0","0","0","0","0","0","0","0.336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.177","0.462","0","0","0","0","0","0","0","0","0","0.344","0"
"Armer Gulch Ruin","0.021","0.043","0.047","0.005","0.08","0.005","0.014","0.026","0.043","0.043","0.019","0.005","0.005","1","0.071","0.783","0.13","0.33","0.367","0.122","0.067","0.058","0.167","0.153","0.375","0.281","0.071","0.085","0.076","0.076","0.095","0.091","0.076","0.076","0.076","0.076","0.076","0.039","0.076","0.091","0.076","0.076","0.076","0.076","0.091","0.091","0.077","0.061","0.076","0.039","0.076","0.054","0.076","0.076","0.076","0.076","0.039","0.076","0.077","0.08","0.001","0","0","0.076","0.037","0.059","0.032","0.037","0.037","0.037","0.039","0.022","0.052","0.068","0.076","0","0.076","0","0.039","0.069","0","0.075","0","0.063","0.037","0","0.029","0.02","0","0.066","0.032","0.037","0.037","0","0.039","0.037","0.037","0","0.064","0.021","0.011","0.007","0","0.037","0.037","0.037","0.037","0.005","0.076","0.049","0.039","0.077","0","0.076","0.083","0.086","0.076","0.083","0.079","0.076","0.076","0.063","0.054","0.077","0.076","0.017","0.025","0.078","0","0","0","0","0","0.076","0.06","0.042","0.077","0.091","0.076","0.053","0.126","0.095","0.048","0.058","0.059","0.076","0.079","0.084","0.078","0.019","0.095","0.091","0.076","0.076","0.076","0.076","0.054","0.095","0.091","0.049","0.081","0.076","0.039","0.076","0.076","0.076","0.082","0.082","0.078","0.076","0.077","0.09","0.084","0.076","0.039","0.039","0.088","0.079","0.076","0.076","0.076","0.076","0.076","0.076","0.076","0.012","0.039","0.039","0.037","0.076","0.066","0.079","0","0","0.07","0.005","0","0","0","0","0","0","0","0","0","0.076","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.095","0.112","0.037","0.076","0","0.057","0.003","0.001","0.077","0.001","0.003","0","0.003","0.003","0","0","0.002","0.003","0","0.01","0","0","0","0","0","0.003","0.002","0","0.012","0","0.091","0.047","0","0.023","0","0.043","0.076","0.024","0.076","0.006","0.005","0.053","0.005","0.076","0.002","0","0","0","0","0","0","0.076","0.039","0","0.076","0.009","0.076","0.076","0.076","0.076","0.076","0.076","0.076","0.039","0.076","0.042","0.06","0.076","0.055","0.039","0.076","0.076","0.076","0.001","0.005","0.076","0.076","0.076","0.076","0.076","0.076","0.076","0.076","0.076","0.091","0.076"
"AZ U:4:009 (ASM)","0.356","0.4","0.425","0.356","0.417","0.207","0.366","0.378","0.44","0.149","0.223","0.344","0.356","0.071","1","0.214","0.594","0.709","0.605","0.811","0.964","0.803","0.726","0.817","0.584","0.737","0.777","0.795","0.559","0.559","0.665","0.396","0.559","0.502","0.298","0.559","0.559","0.581","0.559","0.182","0.559","0.535","0.559","0.562","0.416","0.597","0.582","0.559","0.512","0.559","0.581","0.559","0.581","0.559","0.581","0.559","0.559","0.559","0.582","0.378","0","0","0","0.232","0","0.029","0","0","0","0","0.082","0.022","0.015","0.119","0.174","0","0.093","0","0.178","0.091","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.069","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.471","0.012","0.559","0.67","0","0.486","0.266","0.35","0.559","0.453","0.562","0.559","0.404","0.044","0.248","0.334","0.075","0.05","0.356","0.134","0","0","0","0","0","0.431","0.093","0.051","0.04","0.493","0.499","0.05","0.689","0.282","0.581","0.654","0.657","0.68","0.544","0.595","0.907","0.105","0.65","0.608","0.559","0.559","0.581","0.559","0.334","0.276","0.547","0.012","0.273","0.366","0.144","0.136","0.468","0.191","0.346","0.216","0.174","0.083","0.094","0.137","0.083","0.386","0.559","0.552","0.244","0.072","0.27","0.406","0.559","0.559","0.262","0.381","0.39","0","0.114","0.002","0","0.181","0.065","0.384","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.075","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.248","0.013","0","0.111","0","0.063","0.004","0.001","0.484","0","0.206","0","0.044","0.003","0","0","0.001","0.002","0","0.009","0","0","0","0","0.001","0.039","0","0","0.002","0","0.177","0.151","0","0.009","0","0.011","0.559","0.056","0.581","0.382","0.379","0.324","0.05","0.559","0.003","0","0","0","0","0","0","0.559","0.133","0","0.101","0.008","0.436","0.261","0.506","0.279","0.455","0.559","0.559","0.559","0.559","0.531","0.559","0.559","0.492","0.559","0.559","0.385","0.559","0","0.116","0.201","0.256","0.559","0.422","0.398","0.559","0.559","0.559","0.511","0.921","0.245"
"AZ U:8:589 (ASM)","0.017","0.044","0.065","0","0.081","0","0.009","0.022","0.13","0.053","0.014","0","0","0.783","0.214","1","0.335","0.448","0.544","0.25","0.193","0.178","0.364","0.32","0.548","0.39","0.191","0.211","0.199","0.199","0.244","0.277","0.199","0.277","0.277","0.199","0.199","0.256","0.199","0.169","0.199","0.206","0.199","0.203","0.199","0.208","0.247","0.199","0.199","0.178","0.274","0.193","0.272","0.199","0.262","0.199","0.178","0.199","0.235","0.182","0","0","0","0.199","0.02","0.049","0.02","0.02","0.02","0.02","0.082","0.022","0.035","0.139","0.195","0","0.114","0","0.178","0.111","0","0.058","0","0.047","0.02","0","0.029","0.02","0","0.049","0.02","0.02","0.02","0","0.069","0.02","0.02","0","0.047","0.02","0.011","0.007","0","0.02","0.02","0.02","0.02","0.005","0.199","0.033","0.178","0.276","0","0.199","0.199","0.2","0.199","0.199","0.199","0.199","0.199","0.035","0.178","0.199","0.096","0","0.02","0.152","0","0","0","0","0","0.199","0.125","0.098","0.061","0.199","0.199","0.02","0.321","0.156","0.265","0.227","0.193","0.208","0.277","0.242","0.206","0.047","0.277","0.199","0.199","0.199","0.232","0.199","0.178","0.199","0.199","0.033","0.199","0.199","0.144","0.157","0.199","0.199","0.199","0.199","0.192","0.103","0.114","0.144","0.095","0.199","0.178","0.178","0.199","0.09","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.012","0.114","0.023","0.02","0.199","0.086","0.173","0","0","0.053","0.005","0","0","0","0","0","0","0","0","0","0.096","0","0","0","0.008","0","0.02","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0.199","0.112","0.02","0.132","0","0.075","0","0.001","0.199","0","0","0","0","0.003","0","0","0.001","0.002","0","0.007","0","0","0","0","0.001","0","0","0","0.009","0","0.203","0.02","0","0.023","0","0.027","0.199","0.008","0.277","0.078","0.078","0.269","0","0.199","0.001","0","0","0","0","0","0","0.199","0.133","0","0.122","0.008","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.178","0.199","0.181","0.199","0.199","0.195","0.178","0.199","0.199","0.199","0","0","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.293","0.199"
"AZ V:5:125 (ASM)","0","0.044","0.065","0","0.06","0","0.009","0.022","0.13","0.053","0.014","0","0","0.13","0.594","0.335","1","0.592","0.591","0.657","0.584","0.756","0.767","0.723","0.471","0.635","0.739","0.75","0.843","0.843","0.746","0.401","0.843","0.546","0.341","0.843","0.843","0.658","0.843","0.148","0.719","0.535","0.83","0.732","0.398","0.708","0.891","0.843","0.512","0.843","0.906","0.843","0.909","0.843","0.873","0.843","0.843","0.824","0.88","0.15","0","0","0","0.232","0","0.029","0","0","0","0","0.082","0.022","0.015","0.119","0.174","0","0.093","0","0.178","0.091","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.069","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.471","0.012","0.843","0.516","0","0.486","0.259","0.34","0.63","0.447","0.764","0.736","0.404","0.014","0.199","0.334","0.075","0","0","0.132","0","0","0","0","0","0.431","0.105","0.066","0.04","0.478","0.499","0","0.835","0.135","0.909","0.825","0.74","0.736","0.501","0.886","0.638","0.047","0.559","0.709","0.764","0.618","0.693","0.58","0.318","0.215","0.522","0.012","0.223","0.366","0.144","0.136","0.468","0.191","0.34","0.21","0.172","0.082","0.093","0.123","0.075","0.386","0.596","0.552","0.231","0.069","0.27","0.406","0.834","0.695","0.262","0.381","0.39","0","0.114","0.002","0","0.181","0.065","0.153","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.075","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.198","0.091","0","0.111","0","0.06","0","0.001","0.483","0","0","0","0","0.003","0","0","0.001","0.002","0","0.007","0","0","0","0","0.001","0","0","0","0","0","0.182","0","0","0.009","0","0.007","0.76","0.006","0.728","0.066","0.066","0.367","0","0.679","0.001","0","0","0","0","0","0","0.843","0.133","0","0.101","0.008","0.436","0.261","0.506","0.279","0.455","0.57","0.603","0.643","0.703","0.531","0.574","0.675","0.492","0.843","0.591","0.385","0.61","0","0","0.201","0.256","0.761","0.422","0.398","0.686","0.735","0.717","0.511","0.639","0.245"
"Bass Point Mound","0.167","0.194","0.219","0.147","0.246","0.15","0.16","0.172","0.28","0.169","0.18","0.154","0.15","0.33","0.709","0.448","0.592","1","0.877","0.778","0.706","0.66","0.771","0.773","0.805","0.911","0.69","0.675","0.525","0.525","0.635","0.427","0.525","0.533","0.329","0.525","0.525","0.501","0.525","0.221","0.525","0.532","0.525","0.529","0.455","0.563","0.541","0.509","0.525","0.486","0.54","0.501","0.54","0.525","0.54","0.525","0.486","0.525","0.541","0.284","0.005","0","0","0.271","0.05","0.075","0.032","0.039","0.039","0.039","0.082","0.022","0.054","0.147","0.213","0","0.132","0","0.178","0.121","0","0.077","0","0.065","0.039","0","0.029","0.02","0","0.068","0.032","0.039","0.039","0","0.069","0.039","0.039","0","0.066","0.021","0.011","0.007","0","0.054","0.039","0.039","0.05","0.005","0.508","0.051","0.486","0.69","0","0.525","0.305","0.389","0.525","0.492","0.528","0.525","0.443","0.077","0.259","0.373","0.114","0.062","0.183","0.173","0","0","0","0","0","0.47","0.122","0.098","0.096","0.531","0.525","0.1","0.683","0.332","0.509","0.585","0.596","0.636","0.575","0.553","0.68","0.108","0.675","0.586","0.525","0.525","0.54","0.525","0.334","0.315","0.55","0.051","0.31","0.405","0.144","0.175","0.507","0.23","0.385","0.255","0.213","0.122","0.133","0.176","0.122","0.425","0.486","0.486","0.283","0.111","0.309","0.445","0.525","0.525","0.301","0.42","0.429","0.012","0.114","0.041","0.039","0.22","0.093","0.34","0","0","0.072","0.005","0","0","0","0","0","0","0","0","0","0.114","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0.015","0","0","0","0","0","0","0.287","0.112","0.039","0.15","0","0.078","0.013","0.004","0.523","0.004","0.161","0.003","0.062","0.015","0.003","0.019","0.02","0.007","0.003","0.028","0.006","0.015","0.015","0.003","0.019","0.042","0.007","0.015","0.016","0","0.223","0.191","0.018","0.023","0","0.049","0.525","0.068","0.543","0.178","0.162","0.346","0.067","0.525","0.006","0.003","0.004","0.003","0","0","0","0.525","0.133","0","0.14","0.013","0.475","0.3","0.525","0.318","0.494","0.525","0.525","0.486","0.523","0.489","0.507","0.525","0.503","0.486","0.525","0.424","0.525","0.005","0.121","0.24","0.295","0.525","0.461","0.437","0.525","0.525","0.525","0.525","0.695","0.284"
"Griffen Wash Complex","0.115","0.143","0.168","0.089","0.194","0.099","0.108","0.121","0.229","0.156","0.117","0.103","0.099","0.367","0.605","0.544","0.591","0.877","1","0.667","0.597","0.549","0.777","0.713","0.83","0.834","0.576","0.565","0.475","0.475","0.632","0.489","0.475","0.55","0.391","0.475","0.475","0.508","0.475","0.223","0.475","0.483","0.475","0.479","0.457","0.514","0.525","0.456","0.475","0.434","0.55","0.449","0.546","0.475","0.539","0.475","0.434","0.475","0.513","0.292","0.013","0.003","0","0.274","0.046","0.084","0.032","0.041","0.041","0.041","0.082","0.022","0.056","0.147","0.216","0","0.135","0","0.178","0.121","0","0.079","0","0.065","0.041","0","0.029","0.02","0","0.07","0.032","0.041","0.041","0","0.069","0.041","0.041","0","0.068","0.021","0.011","0.007","0","0.046","0.041","0.041","0.046","0.005","0.471","0.054","0.434","0.694","0","0.475","0.308","0.391","0.475","0.482","0.479","0.475","0.445","0.077","0.276","0.376","0.117","0.08","0.114","0.175","0.003","0","0","0","0","0.472","0.132","0.155","0.093","0.49","0.475","0.118","0.685","0.339","0.517","0.583","0.56","0.6","0.635","0.532","0.568","0.157","0.683","0.543","0.475","0.475","0.509","0.475","0.334","0.317","0.5","0.054","0.327","0.407","0.144","0.178","0.475","0.232","0.387","0.258","0.216","0.124","0.135","0.179","0.124","0.427","0.434","0.434","0.285","0.113","0.312","0.447","0.475","0.475","0.303","0.422","0.432","0.012","0.114","0.044","0.041","0.222","0.093","0.289","0","0","0.074","0.005","0","0","0","0","0","0","0","0","0","0.117","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0.29","0.112","0.041","0.153","0","0.078","0.014","0.007","0.476","0.01","0.09","0.006","0.054","0.013","0.006","0.011","0.012","0.01","0.006","0.02","0.009","0.004","0.004","0.006","0.011","0.048","0.012","0.004","0.021","0.003","0.255","0.137","0.01","0.023","0","0.049","0.475","0.068","0.556","0.17","0.167","0.396","0.061","0.475","0.009","0.006","0.007","0.006","0","0","0","0.475","0.133","0","0.143","0.016","0.475","0.302","0.475","0.32","0.475","0.475","0.475","0.434","0.471","0.437","0.455","0.475","0.45","0.434","0.475","0.427","0.475","0.009","0.095","0.242","0.297","0.475","0.464","0.439","0.475","0.475","0.475","0.475","0.635","0.286"
"Indian Point Complex","0.274","0.301","0.326","0.191","0.318","0.257","0.234","0.254","0.387","0.234","0.28","0.25","0.209","0.122","0.811","0.25","0.657","0.778","0.667","1","0.826","0.812","0.833","0.893","0.634","0.803","0.842","0.851","0.619","0.619","0.723","0.399","0.619","0.505","0.301","0.619","0.619","0.601","0.619","0.199","0.619","0.552","0.619","0.623","0.433","0.656","0.628","0.619","0.529","0.602","0.627","0.617","0.627","0.619","0.627","0.619","0.602","0.619","0.628","0.295","0.028","0.001","0","0.249","0.026","0.067","0.017","0.017","0.017","0.017","0.082","0.022","0.032","0.136","0.191","0","0.11","0","0.178","0.108","0","0.054","0","0.043","0.017","0","0.029","0.017","0","0.045","0.017","0.017","0.017","0","0.069","0.017","0.017","0","0.044","0.017","0.011","0.007","0","0.026","0.017","0.017","0.026","0.005","0.487","0.029","0.602","0.685","0","0.503","0.283","0.367","0.619","0.47","0.622","0.619","0.421","0.061","0.259","0.351","0.092","0.119","0.263","0.15","0.001","0","0","0","0","0.447","0.163","0.078","0.126","0.509","0.515","0.077","0.804","0.31","0.619","0.695","0.706","0.748","0.547","0.641","0.827","0.102","0.653","0.679","0.619","0.619","0.627","0.597","0.334","0.292","0.564","0.029","0.301","0.382","0.144","0.153","0.485","0.208","0.363","0.233","0.191","0.1","0.111","0.154","0.099","0.403","0.596","0.552","0.26","0.089","0.287","0.422","0.619","0.619","0.279","0.397","0.407","0.012","0.114","0.019","0.017","0.198","0.082","0.359","0","0","0.049","0.005","0","0","0","0","0","0","0","0","0","0.092","0","0","0","0.008","0","0.017","0.017","0","0","0","0","0","0","0.009","0","0","0","0","0","0","0.265","0.046","0.017","0.128","0","0.078","0.026","0.016","0.5","0.018","0.19","0.016","0.068","0.027","0.016","0.015","0.027","0.02","0.016","0.035","0.019","0.009","0.009","0.016","0.026","0.055","0.021","0.009","0.019","0.001","0.19","0.17","0.02","0.023","0","0.028","0.619","0.068","0.643","0.203","0.203","0.357","0.119","0.619","0.018","0.016","0.017","0.016","0","0","0","0.619","0.133","0","0.118","0.026","0.453","0.278","0.523","0.296","0.472","0.587","0.619","0.602","0.619","0.534","0.591","0.619","0.508","0.602","0.608","0.402","0.619","0.028","0.151","0.218","0.273","0.619","0.439","0.414","0.619","0.619","0.619","0.528","0.78","0.262"
